10;MODELO;PESPONTO;PESP.;COLADEIRA;COLADEIRA;;;;;;;;;;;;;;COSTURA;TRISSE;;;
;10007;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;2,5932;0;;;
;10007GIG;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;2,5932;0;;;
;10007PIE;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;2,5932;0;;;
;10007PIG;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;2,5932;0;;;
;1000A367-BO;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;10034;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;2,5932;0;;;
;10034GIG;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;2,5932;0;;;
;10034PIE;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;2,5932;0;;;
;10034PIG;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;2,5932;0;;;
;10059;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;3,2994;0;;;
;10059GIG;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;3,2994;0;;;
;10059PIE;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;3,2994;0;;;
;10059PIG;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;3,2994;0;;;
;1005A809;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1005A810;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1005A811;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1005A812;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1005A813;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;1,5324;;;
;100653-BO;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;10076;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;2,5932;0;;;
;10084;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;2,5932;0;;;
;10084GIG;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;2,5932;0;;;
;10084PIE;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;2,5932;0;;;
;1015A801;3,52;1,56;0,98;0,98;;;;;;;;;;;;;;0;0;;;
;1015A802;3,52;1,56;0,98;0,98;;;;;;;;;;;;;;0;0;;;
;1015A803;3,52;1,56;0,98;0,98;;;;;;;;;;;;;;0;0;;;
;1015A803PIG;3,52;1,56;0,98;0,98;;;;;;;;;;;;;;0;0;;;
;1015A804;3,52;1,56;0,98;0,98;;;;;;;;;;;;;;0;0;;;
;1015A805;3,52;1,56;0,98;0,98;;;;;;;;;;;;;;0;0;;;
;1015A824;3,52;1,56;0,98;0,98;;;;;;;;;;;;;;0;0;;;
;1016A801;3,52;1,56;0,98;0,98;;;;;;;;;;;;;;0;0;;;
;1016A802;3,52;1,56;0,98;0,98;;;;;;;;;;;;;;0;0;;;
;1016A824;3,52;1,56;0,98;0,98;;;;;;;;;;;;;;0;0;;;
;10191;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;2,5932;0;;;
;1020A740;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1020A741;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1020A750;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1020A751;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1020A752;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1020A753;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1022A751;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1030A737;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1030A738;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1030A739;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0,1769;;;
;1030A766;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1030A767;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1030A768;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;10364;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;2,5932;0;;;
;10521;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;2,5932;0;;;
;10521PIE;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;2,5932;0;;;
;10524;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;2,5932;0;;;
;1060A417;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1070A742;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;2,3221;;;
;1070A743;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;2,9469;;;
;1070A744;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;2,0629;;;
;1070A745;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0,884;;;
